GW,n_players,direct_r2,direct_mae,direct_rmse,pca_r2,pca_mae,pca_rmse
5,532,0.17631653938733372,1.407787164211049,2.2249175988862944,0.3363662827914089,1.2536194364620117,1.9970915773103233
6,633,0.1391952481651062,1.3377548912525365,2.3099945260490578,0.24803565293529095,1.1956609669345117,2.159022895243496
7,640,0.14226496389808707,1.42430243906565,2.3820478166355286,0.319229931535286,1.2368550785534862,2.1221404644744135
8,652,0.11389866821410688,1.336737499098105,2.149063191407832,0.2672613293471472,1.167712891874269,1.9542586693790633
9,663,0.16215948212031495,1.2908500287215454,2.012631166792413,0.30870520994900574,1.135399316546518,1.8281640148731844
10,667,0.1080104173025559,1.2918160575172533,2.1218574099320953,0.3321727781728022,1.0717853163285975,1.8359817645022491
11,670,0.12752847158371572,1.384415038552747,2.2233888294570834,0.3003320704943738,1.2146408415887398,1.99106652837735
12,672,0.12545819547062542,1.4245130983735657,2.4235056993829107,0.27937708460115884,1.2514288368132118,2.1999245812415285
13,674,0.17171874846184443,1.340865888574799,2.371013863585539,0.2835574713094877,1.1794488292162715,2.2051384243465555
14,676,0.16349803333900503,1.4078291805692502,2.450762460793566,0.23429754799382474,1.3003073014262527,2.344756536445751
15,616,0.17279492931986784,1.281513822591537,2.0897280488597625,0.29461105061549964,1.1095802480906178,1.9297342448783807
16,685,0.14390282365702034,1.3522789567273898,2.234650602550393,0.3088114888409563,1.1172167313910382,2.0079197523066754
17,691,0.11224394139795657,1.502413066753689,2.6322599594401828,0.2857036748620835,1.2487399132481949,2.361136870553544
18,697,0.11610071424636237,1.371591951072729,2.1720134097287507,0.3854913062248091,1.0753003784989235,1.811027839578872
19,700,0.174611378221868,1.3344211524299212,2.19193147357267,0.3083487312943014,1.168399691288355,2.0065099734790883
20,700,0.1727252964957683,1.271965564308422,2.082993843458845,0.3340577425440465,1.0852819714696953,1.8688799337709419
21,707,0.1494040108142891,1.3009838578745703,2.194309422771152,0.33594107370266413,1.0770973231311027,1.9388290230459448
