element,name,GW,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,ict_index,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,starts,transfers_in,transfers_out,transfers_balance,selected,value,round,influence,creativity,threat,clearances_blocks_interceptions,recoveries,tackles,position,team,opponent_team,was_home,kickoff_time,fixture,team_h_score,team_a_score
19,Zubimendi,1,1,22,0,0,0,0,0,0,0,0,0,0,0,3,0.6,0.0,0.02,0.02,0.15,0,1414,17709,-16295.0,1.0,55.0,1,3.8,2.3,0.0,0,2,1,MID,Arsenal,Coventry City,True,2026-08-21T19:00:00Z,1,3.0,0.0
52,Alysson,1,1,8,0,0,0,0,0,0,0,0,0,0,0,5,0.4,0.0,0.0,0.0,0.14,0,317,508,-191.0,0.0,50.0,1,4.0,0.0,0.0,1,1,1,MID,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
53,Manzambi,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,210,8065,-7855.0,0.2,60.0,1,0.0,0.0,0.0,0,0,0,MID,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
55,Watkins,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,10109,216383,-206274.0,8.1,79.0,1,0.0,0.0,0.0,0,0,0,FWD,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
56,Abraham,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,531,2261,-1730.0,0.1,55.0,1,0.0,0.0,0.0,0,0,0,FWD,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
160,Garnacho,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.14,0,1852,8985,-7133.0,0.6,60.0,1,0.0,0.0,0.0,0,0,0,MID,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
582,Madjo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1105,7527,-6422.0,0.4,55.0,1,0.0,0.0,0.0,0,0,0,FWD,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
596,Ruggeri,1,1,8,0,0,0,0,0,0,0,0,0,0,0,3,0.4,0.0,0.0,0.0,0.14,0,785,908,-123.0,0.1,45.0,1,4.0,0.0,0.0,0,0,2,DEF,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
597,Suzuki,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,3669,5667,-1998.0,0.8,50.0,1,0.0,0.0,0.0,0,0,0,GK,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
606,Rowe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,1264,206,1058.0,0.1,40.0,1,0.0,0.0,0.0,0,0,0,DEF,Aston Villa,Brighton,False,2026-08-23T13:00:00Z,3,4.0,0.0
