season,match_date,GW
2019-20,2019-08-09,1
2019-20,2019-08-10,1
2019-20,2019-08-11,1
2019-20,2019-08-17,2
2019-20,2019-08-18,2
2019-20,2019-08-19,2
2019-20,2019-08-23,3
2019-20,2019-08-24,3
2019-20,2019-08-25,3
2019-20,2019-08-31,4
2019-20,2019-09-01,4
2019-20,2019-09-14,5
2019-20,2019-09-15,5
2019-20,2019-09-16,5
2019-20,2019-09-20,6
2019-20,2019-09-21,6
2019-20,2019-09-22,6
2019-20,2019-09-28,7
2019-20,2019-09-29,7
2019-20,2019-09-30,7
2019-20,2019-10-05,8
2019-20,2019-10-06,8
2019-20,2019-10-19,9
2019-20,2019-10-20,9
2019-20,2019-10-21,9
2019-20,2019-10-25,10
2019-20,2019-10-26,10
2019-20,2019-10-27,10
2019-20,2019-11-02,11
2019-20,2019-11-03,11
2019-20,2019-11-08,12
2019-20,2019-11-09,12
2019-20,2019-11-10,12
2019-20,2019-11-23,13
2019-20,2019-11-24,13
2019-20,2019-11-25,13
2019-20,2019-11-30,14
2019-20,2019-12-01,14
2019-20,2019-12-03,15
2019-20,2019-12-04,15
2019-20,2019-12-05,15
2019-20,2019-12-07,16
2019-20,2019-12-08,16
2019-20,2019-12-09,16
2019-20,2019-12-14,17
2019-20,2019-12-15,17
2019-20,2019-12-16,17
2019-20,2019-12-21,18
2019-20,2019-12-22,18
2019-20,2019-12-26,19
2019-20,2019-12-27,19
2019-20,2019-12-28,20
2019-20,2019-12-29,20
2019-20,2020-01-01,21
2019-20,2020-01-02,21
2019-20,2020-01-10,22
2019-20,2020-01-11,22
2019-20,2020-01-12,22
2019-20,2020-01-18,23
2019-20,2020-01-19,23
2019-20,2020-01-21,24
2019-20,2020-01-22,24
2019-20,2020-01-23,24
2019-20,2020-01-29,24
2019-20,2020-02-01,25
2019-20,2020-02-02,25
2019-20,2020-02-08,26
2019-20,2020-02-09,26
2019-20,2020-02-14,26
2019-20,2020-02-15,26
2019-20,2020-02-16,26
2019-20,2020-02-17,26
2019-20,2020-02-19,26
2019-20,2020-02-22,27
2019-20,2020-02-23,27
2019-20,2020-02-24,27
2019-20,2020-02-28,28
2019-20,2020-02-29,28
2019-20,2020-03-01,28
2019-20,2020-03-07,29
2019-20,2020-03-08,29
2019-20,2020-03-09,29
2019-20,2020-06-17,39
2019-20,2020-06-19,39
2019-20,2020-06-20,39
2019-20,2020-06-21,39
2019-20,2020-06-22,39
2019-20,2020-06-23,40
2019-20,2020-06-24,40
2019-20,2020-06-25,40
2019-20,2020-06-27,41
2019-20,2020-06-28,41
2019-20,2020-06-29,41
2019-20,2020-06-30,41
2019-20,2020-07-01,41
2019-20,2020-07-02,41
2019-20,2020-07-04,42
2019-20,2020-07-05,42
2019-20,2020-07-06,42
2019-20,2020-07-07,43
2019-20,2020-07-08,43
2019-20,2020-07-09,43
2019-20,2020-07-11,44
2019-20,2020-07-12,44
2019-20,2020-07-13,44
2019-20,2020-07-14,45
2019-20,2020-07-15,45
2019-20,2020-07-16,45
2019-20,2020-07-17,45
2019-20,2020-07-18,46
2019-20,2020-07-19,46
2019-20,2020-07-20,46
2019-20,2020-07-21,46
2019-20,2020-07-22,46
2019-20,2020-07-26,47
2020-21,2020-09-12,1
2020-21,2020-09-13,1
2020-21,2020-09-14,1
2020-21,2020-09-19,2
2020-21,2020-09-20,2
2020-21,2020-09-21,2
2020-21,2020-09-26,3
2020-21,2020-09-27,3
2020-21,2020-09-28,3
2020-21,2020-10-03,4
2020-21,2020-10-04,4
2020-21,2020-10-17,5
2020-21,2020-10-18,5
2020-21,2020-10-19,5
2020-21,2020-10-23,6
2020-21,2020-10-24,6
2020-21,2020-10-25,6
2020-21,2020-10-26,6
2020-21,2020-10-30,7
2020-21,2020-10-31,7
2020-21,2020-11-01,7
2020-21,2020-11-02,7
2020-21,2020-11-06,8
2020-21,2020-11-07,8
2020-21,2020-11-08,8
2020-21,2020-11-21,9
2020-21,2020-11-22,9
2020-21,2020-11-23,9
2020-21,2020-11-27,10
2020-21,2020-11-28,10
2020-21,2020-11-29,10
2020-21,2020-11-30,10
2020-21,2020-12-05,11
2020-21,2020-12-06,11
2020-21,2020-12-07,11
2020-21,2020-12-11,12
2020-21,2020-12-12,12
2020-21,2020-12-13,12
2020-21,2020-12-15,13
2020-21,2020-12-16,13
2020-21,2020-12-17,13
2020-21,2020-12-19,14
2020-21,2020-12-20,14
2020-21,2020-12-21,14
2020-21,2020-12-26,15
2020-21,2020-12-27,15
2020-21,2020-12-28,16
2020-21,2020-12-29,16
2020-21,2020-12-30,16
2020-21,2021-01-01,17
2020-21,2021-01-02,17
2020-21,2021-01-03,17
2020-21,2021-01-04,17
2020-21,2021-01-12,18
2020-21,2021-01-13,18
2020-21,2021-01-14,18
2020-21,2021-01-16,19
2020-21,2021-01-17,19
2020-21,2021-01-18,19
2020-21,2021-01-19,19
2020-21,2021-01-20,19
2020-21,2021-01-21,19
2020-21,2021-01-23,19
2020-21,2021-01-26,20
2020-21,2021-01-27,20
2020-21,2021-01-28,20
2020-21,2021-01-30,21
2020-21,2021-01-31,21
2020-21,2021-02-02,22
2020-21,2021-02-03,22
2020-21,2021-02-04,22
2020-21,2021-02-06,23
2020-21,2021-02-07,23
2020-21,2021-02-08,23
2020-21,2021-02-13,24
2020-21,2021-02-14,24
2020-21,2021-02-15,24
2020-21,2021-02-17,24
2020-21,2021-02-19,25
2020-21,2021-02-20,25
2020-21,2021-02-21,25
2020-21,2021-02-22,25
2020-21,2021-02-23,25
2020-21,2021-02-27,26
2020-21,2021-02-28,26
2020-21,2021-03-01,26
2020-21,2021-03-02,26
2020-21,2021-03-03,26
2020-21,2021-03-04,26
2020-21,2021-03-06,27
2020-21,2021-03-07,27
2020-21,2021-03-08,27
2020-21,2021-03-10,27
2020-21,2021-03-12,28
2020-21,2021-03-13,28
2020-21,2021-03-14,28
2020-21,2021-03-15,28
2020-21,2021-03-19,29
2020-21,2021-03-20,29
2020-21,2021-03-21,29
2020-21,2021-04-03,30
2020-21,2021-04-04,30
2020-21,2021-04-05,30
2020-21,2021-04-09,31
2020-21,2021-04-10,31
2020-21,2021-04-11,31
2020-21,2021-04-12,31
2020-21,2021-04-16,32
2020-21,2021-04-17,32
2020-21,2021-04-18,32
2020-21,2021-04-19,32
2020-21,2021-04-20,32
2020-21,2021-04-21,32
2020-21,2021-04-22,32
2020-21,2021-04-23,33
2020-21,2021-04-24,33
2020-21,2021-04-25,33
2020-21,2021-04-26,33
2020-21,2021-04-30,34
2020-21,2021-05-01,34
2020-21,2021-05-02,34
2020-21,2021-05-03,34
2020-21,2021-05-07,35
2020-21,2021-05-08,35
2020-21,2021-05-09,35
2020-21,2021-05-10,35
2020-21,2021-05-11,35
2020-21,2021-05-12,35
2020-21,2021-05-13,35
2020-21,2021-05-14,36
2020-21,2021-05-15,36
2020-21,2021-05-16,36
2020-21,2021-05-18,37
2020-21,2021-05-19,37
2020-21,2021-05-23,38
2021-22,2021-08-13,1
2021-22,2021-08-14,1
2021-22,2021-08-15,1
2021-22,2021-08-21,2
2021-22,2021-08-22,2
2021-22,2021-08-23,2
2021-22,2021-08-28,3
2021-22,2021-08-29,3
2021-22,2021-09-11,4
2021-22,2021-09-12,4
2021-22,2021-09-13,4
2021-22,2021-09-17,5
2021-22,2021-09-18,5
2021-22,2021-09-19,5
2021-22,2021-09-25,6
2021-22,2021-09-26,6
2021-22,2021-09-27,6
2021-22,2021-10-02,7
2021-22,2021-10-03,7
2021-22,2021-10-16,8
2021-22,2021-10-17,8
2021-22,2021-10-18,8
2021-22,2021-10-22,9
2021-22,2021-10-23,9
2021-22,2021-10-24,9
2021-22,2021-10-30,10
2021-22,2021-10-31,10
2021-22,2021-11-01,10
2021-22,2021-11-05,11
2021-22,2021-11-06,11
2021-22,2021-11-07,11
2021-22,2021-11-20,12
2021-22,2021-11-21,12
2021-22,2021-11-27,13
2021-22,2021-11-28,13
2021-22,2021-11-30,14
2021-22,2021-12-01,14
2021-22,2021-12-02,14
2021-22,2021-12-04,15
2021-22,2021-12-05,15
2021-22,2021-12-06,15
2021-22,2021-12-10,16
2021-22,2021-12-11,16
2021-22,2021-12-12,16
2021-22,2021-12-14,17
2021-22,2021-12-15,17
2021-22,2021-12-16,17
2021-22,2021-12-18,18
2021-22,2021-12-19,18
2021-22,2021-12-26,19
2021-22,2021-12-27,19
2021-22,2021-12-28,20
2021-22,2021-12-29,20
2021-22,2021-12-30,20
2021-22,2022-01-01,21
2021-22,2022-01-02,21
2021-22,2022-01-03,21
2021-22,2022-01-11,21
2021-22,2022-01-12,21
2021-22,2022-01-14,22
2021-22,2022-01-15,22
2021-22,2022-01-16,22
2021-22,2022-01-18,22
2021-22,2022-01-19,22
2021-22,2022-01-21,23
2021-22,2022-01-22,23
2021-22,2022-01-23,23
2021-22,2022-02-05,23
2021-22,2022-02-08,24
2021-22,2022-02-09,24
2021-22,2022-02-10,24
2021-22,2022-02-12,25
2021-22,2022-02-13,25
2021-22,2022-02-15,25
2021-22,2022-02-19,26
2021-22,2022-02-20,26
